EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
1.7817	1.0438	6.8269	5.2177	7.7624	45.8944	91.1011	1138.1947	3.375	12.8096	5.7402	7.1534	7.4631	1.3965	114.3589	1.0345	31.8658	33.0274	1.0957	0.7010	1.3768	0.6189
1.842	1.0572	6.8285	5.4414	7.767	46.2732	90.1395	1155.6553	3.4139	12.9396	5.9182	7.2683	7.668	1.4122	114.5079	1.0722	32.0621	33.1221	1.1291	0.7310	1.4341	0.6403
1.7855	1.0229	6.8262	5.4837	7.7612	45.4509	90.7161	1136.0822	3.3205	12.5673	5.9204	7.163	7.4057	1.3994	114.1039	1.0666	31.8291	32.4913	1.0961	0.7369	1.4213	0.6641
1.7568	1.0052	6.8256	5.5472	7.7627	44.444	93.4527	1115.4591	3.2044	12.2396	5.9169	7.2026	7.3444	1.3817	113.8286	1.069	31.4767	32.2686	1.0797	0.7453	1.4041	0.6522
1.8142	1.0403	6.8275	5.9253	7.7856	45.769	91.973	1164.841	3.2509	12.7262	6.2872	7.7042	7.6515	1.394	113.7025	1.1295	31.8345	32.365	1.1477	0.7960	1.4318	0.6817
1.8042	1.0376	6.8184	6.0873	7.788	46.4983	90.8059	1214.1114	3.2633	12.7102	6.4728	7.8261	7.6356	1.3976	113.5605	1.1255	32.1988	32.4459	1.1711	0.8181	1.4438	0.6771
1.7689	1.0422	6.7762	5.8179	7.7753	46.7617	87.5005	1203.8095	3.2035	12.8038	6.2633	7.4066	7.5212	1.3756	112.9571	1.053	32.0935	32.2895	1.1382	0.7806	1.3996	0.6534
1.7589	1.0404	6.7873	5.7745	7.7702	46.4605	85.3727	1179.5159	3.1516	12.766	6.1481	7.3015	7.2877	1.3551	112.3968	1.0388	31.8695	31.7173	1.1106	0.7750	1.3986	0.6385
1.718	1.033	6.7396	5.6867	7.7643	45.8729	84.3571	1159.931	3.1032	12.7977	6.0431	7.0397	7.11	1.3333	112.3029	1.0002	31.641	30.7771	1.0641	0.7632	1.3721	0.6414
1.6837	1.0179	6.6678	5.3638	7.758	44.354	81.7285	1121.94	3.0989	12.4393	5.8322	6.677	6.9087	1.3026	111.667	0.9686	30.813	29.9205	1.0185	0.7194	1.3298	0.6302
1.7131	1.0129	6.6538	5.4617	7.7546	44.9315	82.518	1129.623	3.1132	12.3376	5.9645	6.8201	6.9749	1.2987	111.5155	0.9847	30.318	29.869	1.0112	0.7324	1.2948	0.6265
1.6955	1.0081	6.6497	5.6366	7.7736	45.1	83.3376	1145.4833	3.1283	12.3902	5.9833	6.8524	6.8237	1.3063	111.0081	0.9689	29.9014	30.0857	1.0072	0.7564	1.3314	0.6412
1.6745	0.9939	6.5964	5.5749	7.7803	45.375	82.625	1118.8675	3.0595	12.128	5.8561	6.6673	6.9239	1.2863	110.82	0.9565	29.1105	30.5455	1.0038	0.7479	1.3062	0.6336
1.6664	0.9876	6.5761	5.4596	7.7895	45.3795	82.5368	1117.4368	3.0453	12.0649	5.7319	6.4342	7.1844	1.2757	110.8074	0.95	29.2779	30.6953	0.9917	0.7323	1.3123	0.6202
1.6574	0.9766	6.5645	5.3191	7.7913	44.9143	81.647	1119.2674	3.0341	11.9963	5.5913	6.3493	6.8976	1.2678	110.3022	0.9185	29.493	30.333	0.9888	0.7133	1.3472	0.6189
1.5833	0.958	6.5267	5.1577	7.7716	44.301	83.1771	1083.1762	3.0101	11.7059	5.4015	6.199	6.7209	1.2463	110.2129	0.8972	28.9824	30.0424	0.9445	0.6916	1.2668	0.6105
1.6136	0.968	6.4957	5.203	7.7742	44.9024	81.1257	1084.3619	3.0127	11.6542	5.4766	6.2526	6.8556	1.2387	109.7629	0.874	28.7262	30.221	0.9368	0.6976	1.2564	0.6123
1.5854	0.9766	6.4746	5.1782	7.785	44.8109	80.4259	1080.4523	3.0269	11.8055	5.4366	6.3273	6.7859	1.2336	109.5391	0.8401	28.8118	30.4995	0.9419	0.6943	1.2259	0.6166
1.5625	0.9553	6.4575	5.223	7.7892	44.396	79.2425	1057.425	2.9924	11.6741	5.4502	6.3957	6.7871	1.2158	109.457	0.8214	28.835	30.0475	0.9276	0.7005	1.1792	0.6189
1.5966	0.9817	6.4036	5.1973	7.7965	45.3135	76.9657	1073.887	2.9824	12.2366	5.4353	6.397	7.0871	1.2089	109.7139	0.78	28.9674	29.8735	0.9522	0.6977	1.1935	0.6114
1.7492	1.0025	6.3885	5.417	7.7943	47.6905	76.7957	1121.9095	3.0838	13.0637	5.6257	6.646	7.5769	1.2537	110.0529	0.8767	29.7395	30.4571	0.9785	0.7274	1.2317	0.6341
1.7703	1.0198	6.371	5.4225	7.7774	49.202	76.643	1150.685	3.1336	13.4379	5.6405	6.6396	7.954	1.2757	110.0875	0.8958	30.259	30.8395	0.9835	0.7282	1.2639	0.6342
1.7864	1.0248	6.3564	5.4886	7.7809	50.6785	77.5595	1133.4775	3.1521	13.6955	5.7405	6.7377	8.1493	1.2886	111.2205	0.9079	30.2215	30.9315	0.9889	0.7376	1.2963	0.6327
1.8391	1.0235	6.3482	5.6521	7.7767	52.3824	77.7967	1148.1262	3.159	13.7746	5.8912	6.8553	8.1933	1.2954	113.8067	0.9334	30.2505	31.1743	0.9879	0.7602	1.2989	0.6416
1.785	1.013	6.3172	5.7599	7.7622	51.0015	76.964	1140.3275	3.1092	13.3829	5.9424	6.8463	8.0025	1.2777	113.8195	0.9376	29.99	31.506	0.9602	0.7746	1.2477	0.6442
1.7168	0.9967	6.2997	5.6156	7.7544	49.1812	78.47	1122.69	3.022	12.7833	5.7097	6.6619	7.6388	1.2535	117.281	0.9118	29.534	30.685	0.9318	0.7554	1.1977	0.6328
1.7953	0.9938	6.3125	5.6294	7.762	50.3635	82.4659	1126.17	3.0444	12.7523	5.7074	6.7319	7.6071	1.259	125.6605	0.9131	29.5158	30.7036	0.9500	0.7571	1.2194	0.6320
1.8522	0.9928	6.3043	5.6529	7.7621	51.69	81.2524	1135.0238	3.0586	13.0559	5.7521	6.7359	7.8329	1.251	128.4248	0.9133	29.4433	30.8614	0.9662	0.7599	1.2225	0.6250
1.981	1.0097	6.3242	5.8061	7.764	54.3314	79.6668	1156.6914	3.0978	13.6199	5.9151	7.028	8.1506	1.262	129.0045	0.9383	29.4668	31.285	1.0020	0.7809	1.2907	0.6280
2.0482	1.028	6.3633	5.9266	7.759	55.9424	79.3152	1163.3886	3.1783	13.9193	6.0146	7.0746	8.3818	1.2784	131.8519	0.9576	29.9052	31.6152	1.0014	0.7974	1.2811	0.6428
2.0296	1.0142	6.3717	6.059	7.7561	55.4248	78.9348	1142.2781	3.1653	13.3638	6.069	6.9504	8.2535	1.2603	132.4848	0.9783	29.9729	31.6181	0.9709	0.8145	1.2522	0.6413
