EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
3.2954	1.3295	6.8066	6.6203	7.7984	64.4482	110.9141	1130.8464	4.276	18.1293	8.4594	8.6779	12.8924	1.3834	152.8082	0.9681	30.2595	33.9891	1.3224	0.8902	1.3826	0.7806
3.1994	1.269	6.7694	6.4501	7.8091	64.424	112.417	1131.746	4.2875	17.8081	8.1473	8.3129	13.1504	1.3707	153.5875	0.9604	30.392	33.709	1.2809	0.8673	1.3591	0.7695
3.1478	1.2608	6.667	6.2966	7.8217	63.9683	109.827	1130.27	4.282	17.7969	7.8885	8.0835	13.2149	1.3608	153.0978	0.9653	30.233	33.247	1.2634	0.8465	1.3693	0.7721
3.1325	1.2279	6.569	6.2455	7.8127	64.4775	110.776	1131.599	4.2089	17.8305	7.8382	8.0096	13.1698	1.3494	152.8125	0.9625	30.1305	33.1385	1.2541	0.8394	1.3776	0.7496
3.1923	1.2607	6.6254	6.3318	7.8053	65.0357	112.9148	1130.8838	4.228	18.8215	7.997	8.1776	13.6975	1.3595	153.4905	0.9821	30.2519	33.2186	1.2840	0.8507	1.4203	0.7575
3.2629	1.2773	6.62	6.3376	7.8052	64.8435	112.819	1099.7945	4.169	18.9306	8.1946	8.3893	14.0428	1.3556	153.5925	0.9915	30.0835	32.8905	1.3123	0.8516	1.4522	0.7566
3.295	1.2769	6.5932	6.2885	7.8128	64.2445	112.9405	1082.902	4.0775	19.1765	8.3178	8.3925	13.0918	1.3462	153.1085	0.987	29.9545	32.6165	1.3075	0.8449	1.4355	0.7460
3.2115	1.2429	6.4233	6.1056	7.819	63.6452	110.871	1065.641	3.9517	18.9118	7.9039	8.048	12.1951	1.3214	153.7452	0.9604	29.4005	31.87	1.2569	0.8199	1.3768	0.7234
3.2507	1.2588	6.3183	6.0329	7.8222	64.43	107.97	1078.4747	3.9104	18.6473	7.8394	8.0542	11.8216	1.32	154.7737	0.9355	29.2458	31.49	1.2711	0.8104	1.3689	0.7163
3.279	1.2933	6.3174	6.0403	7.8413	65.0455	106.0468	1069.9418	3.9013	18.5901	7.7702	8.2406	11.8422	1.3146	155.6386	0.948	29.1991	31.2564	1.2888	0.8108	1.3778	0.7155
3.4089	1.2732	6.2967	6.0705	7.8482	65.6729	107.6562	1068.0452	3.8855	18.3876	7.8471	8.4596	12.1067	1.316	156.1857	0.9687	29.3767	31.3086	1.3014	0.8150	1.3805	0.7103
3.6316	1.2866	6.3701	6.3001	7.8487	67.51	109.6882	1076.6595	3.9586	19.5525	8.0963	8.7555	12.5394	1.3392	157.7527	0.9969	29.8673	31.9641	1.3289	0.8458	1.4382	0.7424
3.771	1.3125	6.4651	6.3785	7.8471	67.79	110.0638	1094.3552	3.9973	20.2878	8.1104	8.801	13.3138	1.348	158.9619	0.99	30.0848	32.4867	1.3337	0.8562	1.4405	0.7522
3.8221	1.3133	6.7164	6.3768	7.8477	68.6867	111.521	1122.2029	4.0479	18.9856	8.1307	8.8239	13.367	1.363	159.3548	0.9948	30.5429	33.2681	1.3508	0.8558	1.4730	0.7598
3.9333	1.3042	6.8453	6.4574	7.8492	69.6317	110.9965	1120.427	4.0917	18.8633	8.3398	9.069	14.0916	1.3687	160.3217	0.988	30.7039	33.013	1.3652	0.8660	1.4995	0.7765
4.1087	1.3034	6.8551	6.3938	7.8364	72.2779	112.0974	1119.82	4.1388	18.9991	8.2464	8.9395	14.7504	1.371	165.2237	0.9683	30.7253	32.5784	1.3877	0.8571	1.5156	0.7653
3.7611	1.3004	6.9191	6.4939	7.8375	73.5609	112.7218	1131.615	4.157	19.1958	8.2545	9.0391	14.4869	1.379	171.3614	0.994	30.8823	32.7636	1.4063	0.8705	1.5298	0.7685
3.786	1.3205	6.9367	6.5684	7.8286	71.738	113.338	1125.345	4.1825	20.2448	8.4797	9.0676	14.0901	1.3748	176.7275	1.0011	30.806	32.9485	1.3799	0.8800	1.4756	0.7752
3.8834	1.3436	6.8837	6.5579	7.8194	70.8331	112.1994	1122.4244	4.1688	20.0972	8.6263	9.0303	14.2574	1.3704	180.0794	0.9919	30.7822	32.7078	1.3949	0.8787	1.4665	0.7896
3.7356	1.33	6.7863	6.5386	7.8411	70.71	108.9605	1120.33	4.116	19.1704	8.5476	8.995	13.8199	1.356	181.6025	0.9897	30.808	31.7775	1.3984	0.8758	1.4745	0.7751
3.7244	1.3209	6.7367	6.5754	7.8477	71.1739	110.44	1121.8333	4.0759	19.1953	8.5855	9.2481	13.8139	1.3539	178.3944	1.0014	30.7989	31.3272	1.4013	0.8811	1.4641	0.7683
3.8407	1.3371	6.7119	6.606	7.8492	69.4895	111.1443	1131.6005	4.077	19.2442	8.6072	9.2931	14.3858	1.3543	178.0952	1.0005	30.8567	31.7352	1.4120	0.8853	1.4631	0.7595
3.8974	1.3378	6.7161	6.6454	7.8445	69.4068	111.6414	1142.165	4.1125	18.9641	8.5623	9.328	14.1455	1.3561	174.6432	1.0084	30.8468	31.8477	1.4063	0.8902	1.4892	0.7675
3.9915	1.346	6.8519	6.6728	7.8478	69.7827	109.9714	1182.9527	4.1675	19.111	8.7387	9.5921	14.4222	1.3706	176.15	1.0107	31.2218	31.7964	1.4399	0.8939	1.5239	0.7779
3.8557	1.3289	6.8977	6.6123	7.826	69.388	108.0685	1173.7845	4.1603	19.2728	8.6329	9.4085	14.585	1.3621	176.4635	0.988	31.2895	31.101	1.4397	0.8853	1.5147	0.7890
3.7785	1.3105	6.8775	6.6588	7.8133	68.7391	108.2864	1177.2345	4.1225	19.0452	8.6196	9.4191	14.0356	1.3616	175.8832	0.988	31.0768	30.7995	1.4331	0.8920	1.4972	0.8025
4.022	1.3273	7.0629	6.7034	7.842	71.1891	106.1886	1210.3782	4.1865	19.6828	8.9659	9.6467	15.1564	1.3845	177.9386	0.9787	31.3886	30.7441	1.4760	0.8986	1.5542	0.8224
4.1195	1.3241	7.1137	6.7785	7.835	71.311	107.54	1194.1145	4.1819	19.547	9.0053	9.7086	14.8263	1.379	180.7975	0.9906	31.0745	30.558	1.4674	0.9082	1.5760	0.8085
4.0825	1.3189	7.0961	6.7554	7.8421	71.0086	108.1368	1183.4473	4.1872	19.3193	9.1528	9.7675	14.9056	1.3704	181.3155	0.993	30.7014	30.3441	1.4710	0.9043	1.5780	0.7901
4.1558	1.3237	7.0199	6.7617	7.8279	71.4942	108.8579	1167.2989	4.1553	19.3261	9.15	9.6381	14.7882	1.3615	180.3111	0.9929	30.4674	30.2405	1.4648	0.9049	1.5632	0.7762
4.1045	1.3169	7.0137	6.7229	7.8045	71.1567	109.101	1174.7052	4.1464	19.1024	9.024	9.4324	14.4024	1.3565	181.1976	0.9826	30.259	30.1957	1.4520	0.8998	1.5154	0.7628
4.1512	1.3089	6.9184	6.7339	7.7725	71.279	109.2667	1167.4624	4.0785	18.8066	8.9615	9.5099	14.4136	1.3517	181.3219	0.9698	30.02	30.47	1.4596	0.9011	1.5149	0.7648
4.347	1.3286	6.9967	6.8469	7.7757	71.5295	110.0295	1195.3358	4.1625	18.8423	9.2957	9.6881	15.0244	1.3897	181.5016	0.9762	30.1574	31.3226	1.5006	0.9165	1.5649	0.7720
4.8862	1.396	7.0205	6.7646	7.7651	74.5482	107.6673	1218.1945	4.2958	22.3785	10.2403	9.8437	16.6761	1.4171	184.4095	0.9593	30.1305	32.0945	1.6082	0.9053	1.6513	0.8085
5.3171	1.4048	7.0708	6.8638	7.7512	76.1682	107.7386	1223.1309	4.3493	24.1798	10.4199	10.0164	18.5651	1.4228	191.3536	0.9701	30.0732	32.6127	1.5843	0.9199	1.6625	0.8052
5.6394	1.3972	7.1016	6.8377	7.7519	75.6575	107.2	1228.134	4.3362	23.524	10.0926	9.7286	18.1839	1.4178	187.5425	0.9692	29.9205	32.0805	1.5344	0.9168	1.6428	0.8129
5.1884	1.3552	7.0816	6.6216	7.7501	75.7077	107.5782	1206.9459	4.273	22.3069	9.533	9.3105	17.1342	1.3935	185.8705	0.9513	29.6523	31.1423	1.4495	0.8882	1.5509	0.7985
5.2735	1.3497	7.0041	6.4831	7.7509	74.9286	106.6818	1198.6186	4.2614	22.3952	9.2777	9.0097	16.7391	1.3865	185.7377	0.9327	29.4068	31.4168	1.4205	0.8705	1.5168	0.7873
5.4685	1.3229	6.927	6.2938	7.7502	74.5657	106.0129	1186.8562	4.1841	22.2017	8.9422	8.7103	17.2392	1.3689	184.8529	0.9099	29.3771	31.1986	1.3883	0.8452	1.5152	0.7609
5.4	1.323	6.8106	6.3149	7.75	73.5233	105.589	1176.8619	4.1478	21.6613	9.1621	8.8554	16.7339	1.366	184.9519	0.9149	29.1971	31.3724	1.3843	0.8485	1.5004	0.7724
5.6253	1.3218	6.7254	6.3243	7.7503	73.5648	105.2095	1143.7681	4.15	21.2804	9.2956	8.8346	16.4331	1.3597	184.3767	0.9124	28.6952	31.2471	1.4043	0.8498	1.5065	0.7704
5.4482	1.3073	6.6029	6.2968	7.7526	74.2311	104.4061	1116.0978	4.1132	20.4566	9.0999	8.6569	15.55	1.3477	184.8094	0.911	28.5372	30.4672	1.3755	0.8456	1.4586	0.7577
5.1447	1.2809	6.5393	6.1154	7.7519	73.6195	103.7952	1093.7876	4.0546	19.9604	8.7071	8.3631	14.8818	1.3324	186.6329	0.8884	28.2029	30.0805	1.3277	0.8218	1.4098	0.7444
5.3673	1.2725	6.4672	6.1082	7.7533	73.1106	103.7883	1098.2367	4.0357	19.9412	8.5096	8.2867	15.1379	1.3256	190.7628	0.8865	28.0061	29.9972	1.2943	0.8212	1.3889	0.7331
5.4132	1.2696	6.4601	6.1489	7.7529	72.8053	105.3774	1111.8137	4.0446	20.3296	8.5083	8.3437	14.7791	1.3277	194.2947	0.8979	27.9411	30.0174	1.2898	0.8269	1.3803	0.7211
5.6351	1.2569	6.5109	6.2483	7.7651	72.8196	108.6991	1130.2543	4.1089	20.75	8.5127	8.5431	14.9651	1.3423	196.8809	0.9298	28.2683	30.7948	1.2970	0.8402	1.4013	0.7213
5.5686	1.2494	6.5186	6.2155	7.7691	74.5186	109.0445	1117.8555	4.12	20.0376	8.3906	8.4994	14.4053	1.3343	196.6659	0.9218	28.2382	31.3241	1.2985	0.8358	1.4031	0.7223
5.2852	1.2125	6.4321	6.122	7.7654	73.2065	109.112	1123.6565	4.1269	19.9644	8.3073	8.3511	14.0443	1.3298	196.777	0.9027	27.9165	31.2735	1.2882	0.8233	1.3841	0.7100
5.0285	1.222	6.425	6.1726	7.7617	73.5782	110.1073	1122.6073	4.1332	20.0314	8.4231	8.3966	13.9131	1.3335	197.8595	0.9078	27.78	31.4427	1.3084	0.8300	1.4073	0.7130
5.1611	1.253	6.4763	6.2911	7.7705	74.539	110.2143	1146.3948	4.2032	19.9664	8.7934	8.6256	14.5362	1.3554	198.88	0.9174	27.9971	32.6662	1.3483	0.8460	1.4325	0.7242
5.2487	1.2599	6.4768	6.3199	7.7834	74.1155	109.8527	1160.9945	4.217	20.075	8.8482	8.6787	14.7623	1.3548	199.1268	0.9147	27.8591	33.0923	1.3691	0.8498	1.4329	0.7248
5.279	1.2671	6.4563	6.3206	7.7807	73.6357	110.161	1172.819	4.167	20.0461	8.6583	8.644	14.5913	1.3479	199.2033	0.9228	27.721	33.1	1.3676	0.8500	1.4178	0.7282
5.5416	1.2434	6.4172	6.4134	7.7793	74.92	113.1215	1181.89	4.1622	20.4399	8.4554	8.6624	14.8423	1.3507	200.083	0.9227	27.9225	33.4335	1.3492	0.8621	1.4156	0.7299
5.5668	1.2567	6.3889	6.5155	7.7896	74.477	113.965	1184.06	4.1745	20.8698	8.7379	8.8036	15.5313	1.3567	201.214	0.9213	27.809	33.0915	1.3686	0.8760	1.4247	0.7428
5.6549	1.28	6.3693	6.581	7.799	75.3948	113.8329	1183.8871	4.2113	20.926	8.9811	9.0896	15.8916	1.3634	201.9533	0.921	27.7481	33.5605	1.3976	0.8849	1.4736	0.7517
5.53	1.2622	6.3556	6.5753	7.7917	74.4075	114.8255	1196.0345	4.1888	20.5074	8.8474	9.1533	15.4708	1.3504	201.842	0.9191	27.672	33.2225	1.3928	0.8836	1.4832	0.7377
5.1984	1.2711	6.3436	6.5596	7.7992	74.9695	115.2763	1199.1226	4.1865	20.4578	8.8564	9.2857	15.217	1.3464	202.0063	0.9228	27.8716	32.6484	1.3949	0.8811	1.4975	0.7386
